団体コード,都道府県名,市区町村名,0～4歳,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85～89,90～94,95～99,100歳以上
113271,埼玉県,入間郡越生町,230,343,393,534,541,474,436,516,706,846,790,814,863,1068,1024,841,553,327,198,58,12
113409,埼玉県,比企郡,3551,4175,4854,5641,5785,5260,5971,6737,7970,9353,8295,8384,9977,12221,11910,8648,5574,3632,1832,572,68
113417,埼玉県,比企郡滑川町,1048,977,1063,1023,847,907,1240,1377,1556,1680,1233,978,1046,1199,1199,832,579,316,144,44,6
113425,埼玉県,比企郡嵐山町,489,565,657,795,970,750,852,951,1152,1384,1196,1067,1183,1497,1580,1287,796,440,202,67,10
113433,埼玉県,比企郡小川町,598,810,960,1139,1248,1118,1218,1410,1558,1780,1839,2122,2653,3138,2801,2067,1413,1070,529,142,15
113468,埼玉県,比企郡川島町,484,641,775,941,898,766,919,1023,1253,1477,1190,1248,1516,1962,1889,1263,808,529,264,98,8
113476,埼玉県,比企郡吉見町,420,545,643,789,913,874,808,897,1078,1352,1397,1447,1558,1806,1640,1159,763,502,250,67,12
113484,埼玉県,比企郡鳩山町,271,327,391,537,454,414,498,572,770,982,773,699,1020,1477,1753,1307,707,386,229,80,10
113492,埼玉県,比企郡ときがわ町,241,310,365,417,455,431,436,507,603,698,667,823,1001,1142,1048,733,508,389,214,74,7
113603,埼玉県,秩父郡*,916,1297,1587,1833,1578,1325,1536,1756,2152,2635,2464,2587,3023,3701,3224,2752,2102,1526,833,238,29
113611,埼玉県,秩父郡横瀬町,254,281,357,415,345,339,353,389,426,551,590,580,594,717,604,524,434,259,137,42,3
113620,埼玉県,秩父郡皆野町,247,347,393,430,409,299,381,454,558,687,579,590,710,913,853,660,512,390,197,61,7
113638,埼玉県,秩父郡長瀞町,156,235,250,357,274,248,242,271,409,498,452,472,538,591,621,582,376,262,136,47,5
113654,埼玉県,秩父郡小鹿野町,218,373,512,528,434,352,471,525,633,716,690,764,947,1144,893,764,621,507,291,66,10
113697,埼玉県,秩父郡東秩父村*,41,61,75,103,116,87,89,117,126,183,153,181,234,336,253,222,159,108,72,22,4
113808,埼玉県,児玉郡,1724,2137,2530,2879,2773,2488,2669,3112,3874,4313,3736,3523,3849,4453,4216,2995,2059,1359,751,231,29
113816,埼玉県,児玉郡美里町,347,421,462,508,517,454,519,630,729,793,699,730,811,939,860,656,536,322,197,67,8
113832,埼玉県,児玉郡神川町,369,496,564,646,683,624,615,693,819,977,960,899,994,1151,1074,782,560,342,196,54,9
113859,埼玉県,児玉郡上里町,1008,1220,1504,1725,1573,1410,1535,1789,2326,2543,2077,1894,2044,2363,2282,1557,963,695,358,110,12
114006,埼玉県,大里郡,995,1098,1259,1472,1656,1516,1572,1705,1925,2431,2193,2240,2445,2857,2726,2152,1493,941,522,131,13
114081,埼玉県,大里郡寄居町,995,1098,1259,1472,1656,1516,1572,1705,1925,2431,2193,2240,2445,2857,2726,2152,1493,941,522,131,13
114405,埼玉県,南埼玉郡,1235,1310,1220,1392,1607,1599,1777,2030,2301,2687,2079,1904,1923,2546,2851,2627,1648,819,342,94,10
114421,埼玉県,南埼玉郡宮代町,1235,1310,1220,1392,1607,1599,1777,2030,2301,2687,2079,1904,1923,2546,2851,2627,1648,819,342,94,10
114600,埼玉県,北葛飾郡,2046,2730,3291,3736,3611,2972,3244,3814,4915,6585,5395,4404,4542,5705,6319,5192,3081,1554,621,166,19
114642,埼玉県,北葛飾郡杉戸町,1254,1668,1927,2117,2054,1751,1993,2352,2984,3860,2994,2701,2780,3554,3986,3329,1931,994,426,110,12
114651,埼玉県,北葛飾郡松伏町,792,1062,1364,1619,1557,1221,1251,1462,1931,2725,2401,1703,1762,2151,2333,1863,1150,560,195,56,7
121002,千葉県,千葉市,34819,39365,42633,46470,53021,50252,52393,58897,69926,86935,75239,59832,50611,57765,65218,57612,39096,21351,8445,2269,367
121011,千葉県,千葉市中央区,7988,8149,8564,9016,13019,13992,13997,14147,15574,18292,15384,12682,10543,11103,11633,10157,7365,4609,2041,548,101
121029,千葉県,千葉市花見川区,5917,6407,7083,8142,9781,9465,9570,10309,12108,15717,13885,10799,8937,10783,12636,11469,7697,4151,1621,434,62
121037,千葉県,千葉市稲毛区,5670,6599,7069,7443,8612,7932,8378,9766,11534,13791,11706,9244,8508,9744,10893,9178,6408,3660,1388,411,68
121045,千葉県,千葉市若葉区,4862,5598,5868,6767,7415,7161,7297,8314,9877,12861,11034,8925,7817,9804,11432,11017,7644,3959,1513,400,54
